uuid,level,name,std2.8.0,std2.9.0,std2.9.0(%),std3.0.1,std3.0.1(%)
06-d77d5e503ad1439f585ac494268b351b,6,db,8,8,0.0,8,0.0
06-db5db518edf8e1076deb7c2f417b4911,6,uuid_16_pool,8,8,0.0,8,0.0
06-dcac47d0a725a0e72a1d6819d6441a45,6,platform.c,4,4,0.0,8,100.0
06-dce7c4174ce9323904a934a486c41288,6,lock,4,4,0.0,4,0.0
06-e0cacc6380194dc40a1f0ecd68071f98,6,req_slab,32,32,0.0,32,0.0
06-e0d12d7bdb1d9b51f954e17a1147f97b,6,uuid_32_pool,8,8,0.0,8,0.0
06-e0f1a4afdc30e0724bd9be57355de70e,6,ecc,,,,96,
06-e3f7e4c0017b92e2ba09413445e25d4a,6,arm_mpu_v8_internal.h,20,20,0.0,20,0.0
06-ef5c1c62c7e7156343961bbc663806ca,6,pub_key_work,,,,16,
06-ef6cfad055113975cbf70428b1fde9d1,6,sc_oobd_present,1,1,0.0,1,0.0
06-f7b8ebcd6eb644273412c45a030fb381,6,att_pool,52,52,0.0,52,0.0
06-f80539f6f6a8a29c8582ef0aa291102d,6,tx_work,16,16,0.0,16,0.0
06-f9d7b88e9fc8b2604283baede29265cc,6,hci_internal.c,76,76,0.0,76,0.0
06-f9dd02e2b7574121a46646057962eec0,6,button_handler_mut,20,20,0.0,20,0.0
06-fa299f60ab86f3e858f3216c2cdc3b47,6,_stdout_hook,4,4,0.0,4,0.0
06-faca60aa9dc2615a93a3759c5ad6aaea,6,disconnected_handles,6,6,0.0,6,0.0
06-fb05f69ac1761b385b5f821b599762e1,6,_net_buf_discardable_pool,84,84,0.0,84,0.0
06-fb62269b27f4d3f8383128ba4d7a2a54,6,sc_supported,1,1,0.0,1,0.0
06-fdec09a5f51e9a78bb72ed6946f583c1,6,sc_public_key,4,4,0.0,4,0.0
06-fe68aff388a5a79c087e235831b04729,6,button_handlers,8,8,0.0,8,0.0
06-fe69fd0a878b10d190c924b2398bad9c,6,drivers,432,432,0.0,432,0.0
06-ff9e9705db82f1374a2a3e8d82c597b7,6,bt_workq,176,176,0.0,176,0.0
07-0fb9d4b1eef721feb0a995ff64d0f89b,7,mpsl_work_stack,1024,1024,0.0,1024,0.0
07-1a33ac3b8f1047d41c405aed5b2a7da6,7,sdc_mempool,4418,4418,0.0,4270,-3.35
07-1f708f7cb182875d325a3ad6f18d6083,7,do_calibration,4,4,0.0,4,0.0
07-20f48e958a714bfaf1adbfff4adf70d4,7,threading_alt.c,48,48,0.0,72,50.0
07-25d902c24283ab8cfbac54dfa101ad31,7,src,432,432,0.0,432,0.0
07-31f51d4f3304e8ffa596e1d557839ae9,7,ecdh_signal,16,16,0.0,,
07-354dcec8d597dbf3a1f4b392b7b20115,7,mbedtls_free_func,4,4,0.0,4,0.0
07-4d4a9aa362b6ffe089fd2e992ccf4f5f,7,heap,,,,40,
07-58a2619605e91a482911ced329d44ca8,7,event_handler,4,4,0.0,4,0.0
07-5b6a6d09d8257013cc541999d9ff8586,7,ecdh_thread_stack,904,904,0.0,,
07-5e1497bf88ea1c252050083f2a68ac83,7,cmd_complete_or_status,72,72,0.0,72,0.0
07-6ee4aff4238ac5b672292778ae156701,7,_context,68,68,0.0,68,0.0
07-740d70b80266f86218ac585086d6f392,7,dyn_reg_info,20,20,0.0,20,0.0
07-7b7577f8c4a312613d1569e534b53e5e,7,__devstate_dts_ord_118,,2,,,
07-80e0d0351f9d91591bdc3ea62cd2d9a3,7,calibration_work,48,48,0.0,48,0.0
07-81961392644313b3e7c378f61955092f,7,timeslot_context,48,48,0.0,48,0.0
07-87cddd49993e22bf9e7c348d1556799a,7,ecdh_thread_data,144,144,0.0,,
07-905bafb06415a4d5ecfbc76efa3138b2,7,mbedtls_heap.c,,,,512,
07-9445c78740776a51b89e5a64d647274f,7,global_data,1412,1412,0.0,1412,0.0
07-98e344a26c7cd1012f41ca9844480d56,7,memset_func,4,4,0.0,4,0.0
07-993bbdd7b998ec238580692d8e809118,7,mpsl_low_prio_work,16,16,0.0,16,0.0
07-9a22c94b2bb51a62408be9cd4e6fe048,7,rx_hci_msg,,,,75,
07-bd2fc65a60afb7f3792338b098e83d64,7,battery_level,1,1,0.0,1,0.0
07-bd3a516b00a5256e9848871047708f3e,7,malloc.c,12,12,0.0,12,0.0
07-c0e744eec3234c1fa44e5d86dfbc3723,7,static_regions_num,1,1,0.0,1,0.0
07-c1a3bc9f9f76deccd27d5e1b2e97452a,7,mbedtls_calloc_func,,,,4,
07-d6d96f5ef5ccf25a919f7e5c1215af51,7,__devstate_dts_ord_110,2,,,,
07-d72ea55ef968cb152c9df5c079bb1a17,7,ecdh,96,96,0.0,,
07-d78028ad87e599f5cad31a7f50625196,7,receive_work,16,16,0.0,16,0.0
07-dbc8ad78d385bf31f53ced37f9e96f3a,7,__devstate_dts_ord_120,,,,2,
07-dfff0a7fa1a55c8c1a4966c19f6da452,7,cmd,4,4,0.0,,
07-f264317a3fecb1dcc6a40ad1640718cc,7,data_0,4,4,0.0,4,0.0
07-f30cd3b62a81eca13e03941a68954218,7,cracen,292,292,0.0,472,61.64
07-ffd549621e6d0bb5f51adf5d9473a45a,7,user_cmd_handler,4,4,0.0,4,0.0
08-0a8559ad46ced8b51443cc94a65956e4,8,mbedtls_mutex_lock,4,4,0.0,4,0.0
08-0dff49faf0f543995117aa5f1f7c8fae,8,mbedtls_threading_psa_globaldata_mutex,20,20,0.0,20,0.0
08-2045016cb90d1e65d71c2407a2570927,8,main.c,916,916,0.0,936,2.18
08-2694c0f895d34ff1c47999df96cff71b,8,nrfx_gpiote.c,216,216,0.0,216,0.0
08-3884c6dbc17aea521b44815f439d8e3e,8,mbedtls_heap,,,,512,
08-395b2c1131ac70302d5737d05585024a,8,cracenpsa,116,116,0.0,272,134.48
08-44f0cbab43d4061c1dc047bd6a579531,8,sym_*,64,64,0.0,64,0.0
08-54bbe062cc020a9f87f0b6828066eeaf,8,z_malloc_heap,12,12,0.0,12,0.0
08-77b9b1d79da704a171d6af3f4e843f7e,8,mbedtls_threading_psa_rngdata_mutex,20,20,0.0,20,0.0
08-97ccf462e72e73c8bc71018a9de7d14b,8,nrfx_twim.c,40,40,0.0,40,0.0
08-9d1bef0d54687bee603f8e800d34a669,8,mbedtls_mutex_init,,,,4,
08-c0e605aae9a73bd700f4dd7d689cfa0a,8,silexpk,112,112,0.0,136,21.43
08-cf4e8cc2e31224da6b2648bf19e86b9f,8,nrfx_spim.c,72,72,0.0,72,0.0
08-e09e435d8dd0ae624f79b82bd949200d,8,nrfx_grtc.c,84,84,0.0,84,0.0
08-f4ac036caeb04b7add960ba0d5747e9e,8,mbedtls_mutex_unlock,4,4,0.0,4,0.0
08-f8c18c47a87d15c39d107137fe7ac8bb,8,nrfx_pwm.c,20,20,0.0,20,0.0
08-f992de398a1d8b517297a0b73aa99b00,8,mbedtls_threading_key_slot_mutex,,,,20,
09-0e3f13d9e0797ea4fc91b4bd5afc825a,9,notification_cb_flag,1,1,0.0,1,0.0
09-1bb3afc5ac55b0d8c83858b837c61841,9,request_2m_phy,1,1,0.0,1,0.0
09-212cb1c2414ce0b61e7f9a98625cfb18,9,hids_obj_mutex,20,20,0.0,20,0.0
09-2372f2c1eb2fa143a1ac5a5ef0c02a66,9,hids_obj_ctx_lib,32,32,0.0,32,0.0
09-25d902c24283ab8cfbac54dfa101ad31,9,src,64,64,0.0,64,0.0
09-2a402a7140c21e2eb89b80201ba822f3,9,conn_auth_info_callbacks,16,16,0.0,16,0.0
09-42aefbae01d2dfd981f7da7d823d689e,9,target,112,112,0.0,136,21.43
09-42c203d9ff8111377c29fcb09f40f1fe,9,hid_keyboard_state,7,7,0.0,7,0.0
09-4dff46a9286b609856d314fe18cfd37e,9,is_adv,1,1,0.0,1,0.0
09-53e08e2128145bb0a5b9fc5a4557aee2,9,continious_report_flag,1,1,0.0,1,0.0
09-5569398b45c60ba969e6bfdea1e53622,9,pairing_work,16,16,0.0,16,0.0
09-76f197ffe3e84e735f00a1c8dd400ee0,9,mitm_queue,52,52,0.0,52,0.0
09-8d49d3f311a99424acdce687acc05e9c,9,_k_mem_slab_buf_hids_obj_mem_slab,88,88,0.0,88,0.0
09-a7013300c727da936109b4af13d8f37b,9,request_conn_param_update,1,1,0.0,1,0.0
09-ba76ce27e5f0f2c46120ad565956749e,9,hids_obj,592,592,0.0,612,3.38
09-ccf7d455239dbb8f11406c141c9f4ae2,9,conn_mode,16,16,0.0,16,0.0
09-dd829e84a0523d00b5e2f69f25cbf63f,9,hids_obj_mem_slab,32,32,0.0,32,0.0
09-faa725230deed50b451cb3c8e595e632,9,conn_auth_callbacks,24,24,0.0,24,0.0
09-fb6cf373b8dfaa53fdecf671a502bb57,9,m_cb,40,40,0.0,40,0.0
09-fc00bc36ec0093c49164d40caa1d6554,9,_k_fifo_buf_mitm_queue,16,16,0.0,16,0.0
10-15f0f4f26e4069554a5395b90f5dcf64,10,prng_pool.c,,,,156,
10-34a6e5d64ade17ef4e51612c50dd72f5,10,platform,64,64,0.0,64,0.0
10-8bd985ebdc8846e32b2eb38d959557f2,10,ctr_drbg.c,88,88,0.0,88,0.0
10-90236da39fce76ace84a44157220bcda,10,baremetal_ba414e_with_ik,112,112,0.0,136,21.43
10-a75f4bc5e84abab8fcef4476a0fa2ef4,10,cracen.c,28,28,0.0,28,0.0
11-0812117982f3a1340353099887c5322e,11,cracen_mutex,4,4,0.0,4,0.0
11-0fd8006230149ab229847684e149586d,11,k_cracen_mutex,20,20,0.0,20,0.0
11-1240feb14683c41180f948436d2e4819,11,k_cracen_prng_context_mutex,20,20,0.0,20,0.0
11-1dae7848ca4e6f9f04713245ab6b1f27,11,pk_baremetal.c,112,112,0.0,136,21.43
11-28e3182966fefb4f06e8e1fa063fb15a,11,cracen_prng_pool_mutex,,,,4,
11-337bea3d62b3a0b0a67cbe69981757c4,11,prng_pool_remaining,,,,4,
11-41b8569c09ac955fe309f82c090523bc,11,k_cracen_prng_pool_mutex,,,,20,
11-9bc65c2abec141778ffaa729489f3e87,11,users,4,4,0.0,4,0.0
11-c43fb241d10fe00b8de48ff8f8c53c57,11,prng,64,64,0.0,64,0.0
11-ccb236a7994e135f8c286fb971b4d42b,11,prng_pool,,,,128,
11-e5db6751998f88ee543e905db18282f4,11,baremetal,64,64,0.0,64,0.0
11-f0eaaebf65a1c176fe9b4645cb2f2916,11,cracen_prng_context_mutex,4,4,0.0,4,0.0
12-44f0cbab43d4061c1dc047bd6a579531,12,sym_*,,,,24,
12-b1ce89562390724e071658a57a4ca60e,12,cmdma_hw.c,24,24,0.0,24,0.0
12-dcec9684f716ea0d2b8be730033c50b6,12,interrupts.c,40,40,0.0,40,0.0
12-ff3627ceddf194a904bfc48f325ec41c,12,silex_pk_engine,112,112,0.0,112,0.0
13-0d09822af6ed9d6e1f3afc4bcb09d767,13,cracen_irq_event_for_cryptomaster,4,4,0.0,4,0.0
13-44f0cbab43d4061c1dc047bd6a579531,13,sym_*,24,24,0.0,24,0.0
13-911d2b678d915de9685bfb90ec6542e9,13,cracen_irq_event_for_pke,4,4,0.0,4,0.0
13-e602a679d4523f53f9b4cca657a7eca5,13,k_cracen_irq_event_for_pke,16,16,0.0,16,0.0
13-f3dfde82ea3ba781debb5fdb87761444,13,k_cracen_irq_event_for_cryptomaster,16,16,0.0,16,0.0
